Date Time,p (mbar),Tpot (K),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),CO2 (ppm),T (K),Tdew (K),Tlog (K),Rain Rate (mm/h),Is Rain,Rain Type
2024-03-20 12:00:00,993.0733333333333,289.62638888888887,49.99527777777777,18.09916666666667,9.038888888888888,9.060277777777777,5.680833333333333,9.101388888888888,1192.7236111111113,1.6030555555555557,2.72,83.83027777777778,0.0,0.0,252.49944444444444,503.2236111111111,646.2894444444444,428.23055555555555,289.05055555555555,278.6452777777778,300.29055555555556,0.0,No,No Rain
2024-03-20 18:00:00,993.311111111111,285.2416666666667,67.18111111111111,13.779722222222222,9.039166666666667,4.740277777777778,5.679722222222222,9.100833333333334,1211.3519444444444,1.1725,1.7647222222222223,210.22500000000002,0.0,0.0,1.6527777777777777,3.8152777777777778,4.944999999999999,440.30833333333334,284.6947222222222,278.6483333333333,294.87555555555554,0.0,No,No Rain
2024-03-21 00:00:00,992.8183333333333,279.6069444444445,93.33888888888889,9.306944444444445,8.650555555555556,0.6566666666666667,5.4366666666666665,8.712499999999999,1235.4347222222223,1.0277777777777777,1.7663888888888888,178.0,0.0,0.0,0.0,0.0,0.0,467.89166666666665,279.0322222222222,278.01638888888886,290.3447222222222,0.0,No,No Rain
2024-03-21 06:00:00,992.5572222222222,280.995,90.05444444444444,10.33,9.168611111111112,1.1616666666666666,5.766666666666667,9.237777777777778,1228.9302777777777,0.8194444444444444,1.7155555555555555,150.72555555555556,0.008333333333333335,25.833333333333332,108.17194444444445,225.3647222222222,253.0838888888889,474.9527777777778,280.39638888888885,278.80805555555554,290.7972222222222,1.1612903225806455,Yes,Weak Rain
2024-03-21 12:00:00,994.6083333333333,286.1877777777778,74.56722222222223,14.653055555555556,10.881666666666668,3.771388888888889,6.83388888888889,10.940833333333334,1207.5708333333334,1.7730555555555556,4.048333333333334,266.3855555555555,0.013888888888888888,20.27777777777778,231.42361111111111,451.65722222222223,588.4805555555555,432.9611111111111,285.74527777777774,281.27777777777777,296.2122222222222,2.4657534246575343,Yes,Moderate Rain
2024-03-21 18:00:00,997.1516666666666,282.2711111111111,76.90472222222223,11.419166666666666,8.770000000000001,2.647777777777778,5.488611111111111,8.795555555555556,1227.538888888889,1.5122222222222221,2.6338888888888885,259.7638888888889,0.0,0.0,0.8144444444444444,1.7983333333333331,2.398611111111111,430.2444444444444,282.04055555555556,278.21527777777777,292.6322222222222,0.0,No,No Rain
2024-03-22 00:00:00,995.4127777777778,278.50722222222225,92.81666666666666,8.75138888888889,8.07861111111111,0.6730555555555555,5.063611111111111,8.116388888888888,1242.9102777777778,1.8994444444444443,2.6555555555555554,204.25833333333333,0.0,0.0,0.0,0.0,0.0,447.21944444444443,278.14138888888886,277.0444444444444,288.81333333333333,0.0,No,No Rain
2024-03-22 06:00:00,992.376388888889,281.32277777777773,85.09472222222222,10.677222222222222,8.773055555555555,1.9052777777777778,5.5175,8.840833333333332,1227.6325,2.17,3.5213888888888887,185.7611111111111,0.0,0.0,159.48333333333332,322.2261111111111,364.2972222222222,449.0805555555555,280.7077777777778,278.17499999999995,290.4072222222222,0.0,No,No Rain
2024-03-22 12:00:00,988.1374999999999,288.8727777777778,62.57472222222222,16.798333333333332,10.5025,6.296388888888888,6.637777777777778,10.628333333333334,1190.8997222222222,4.825277777777778,7.022777777777778,209.14166666666668,0.0,0.0,173.65583333333333,354.7705555555556,410.4941666666666,424.0111111111111,287.8883333333333,280.82361111111106,296.6333333333333,0.0,No,No Rain
2024-03-22 18:00:00,985.01,286.7122222222222,71.62027777777777,14.3975,10.26972222222222,4.126111111111111,6.510555555555555,10.426388888888889,1197.2647222222222,1.7486111111111111,2.5127777777777776,208.51666666666668,0.0,0.0,0.4097222222222222,1.1747222222222222,1.4433333333333334,433.4138888888889,285.47777777777776,280.48499999999996,294.6769444444444,0.0,No,No Rain
2024-03-23 00:00:00,981.2897222222223,282.1008333333333,93.15833333333333,10.354999999999999,9.605555555555556,0.7497222222222222,6.111111111111111,9.788888888888888,1213.8427777777777,1.0055555555555555,1.8227777777777778,150.9725,0.008333333333333335,45.27777777777778,0.0019444444444444442,0.0,0.0,457.31388888888887,280.5811111111111,279.52166666666665,290.93027777777775,0.6625766871165646,Yes,Weak Rain
2024-03-23 06:00:00,978.8877777777777,280.24361111111114,98.55000000000001,9.005,8.883333333333333,0.12194444444444444,5.66611111111111,9.0775,1220.1208333333334,1.9649999999999999,4.272777777777778,213.33527777777778,0.052777777777777785,306.6666666666667,115.48750000000001,236.05861111111113,319.9558333333333,445.40277777777777,278.53666666666663,278.3272222222222,289.1011111111111,0.6195652173913044,Yes,Weak Rain
2024-03-23 12:00:00,981.9455555555555,281.3941666666667,74.53555555555556,9.9025,7.308055555555555,2.5944444444444446,4.6433333333333335,7.442777777777778,1218.5638888888889,3.2672222222222222,6.345277777777778,245.8777777777778,0.030555555555555558,32.22222222222222,284.34,540.6280555555555,896.1005555555555,426.51666666666665,279.9313888888889,275.6019444444444,290.52444444444444,3.4137931034482762,Yes,Moderate Rain
2024-03-23 18:00:00,981.6975,278.40333333333336,80.55194444444444,8.029444444444444,6.452777777777778,1.5769444444444443,4.098333333333333,6.572777777777778,1231.8305555555555,2.526111111111111,4.039166666666667,227.0,0.0,0.0,2.7158333333333333,5.379444444444444,6.364166666666667,429.8277777777778,276.93666666666667,273.9,286.80916666666667,0.0,No,No Rain
2024-03-24 00:00:00,979.7552777777778,277.2366666666667,83.91666666666667,7.30111111111111,6.125,1.1758333333333333,3.897777777777778,6.2525,1235.4033333333334,2.2427777777777775,3.3125,211.46388888888887,0.0,0.0,0.0,0.0,0.0,430.0833333333333,275.62055555555554,273.18805555555554,284.82611111111106,0.0,No,No Rain
2024-03-24 06:00:00,977.3258333333334,279.5755555555555,76.17,8.505277777777778,6.457777777777777,2.0472222222222225,4.120277777777777,6.607777777777778,1222.755,4.910555555555556,7.501666666666667,209.3722222222222,0.0,0.0,160.19,319.84472222222223,397.19944444444445,428.1027777777778,277.7486111111111,273.9080555555555,286.78249999999997,0.0,No,No Rain
2024-03-24 12:00:00,976.2427777777777,281.38944444444445,76.015,9.573055555555555,7.247777777777778,2.325,4.631111111111111,7.425277777777778,1213.5191666666667,3.7691666666666666,6.903611111111111,228.64444444444447,0.019444444444444445,92.5,176.8025,356.5394444444444,505.7744444444445,426.18888888888887,279.4625,275.50305555555553,289.1038888888889,0.7567567567567568,Yes,Weak Rain
