Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),Tlog (degC),CO2 (ppm),Is Rain
2024-01-01 00:00:00,-1.015059641511808,-0.6434163133070463,-0.5308914975777661,-0.7486524146158123,-0.108248284916064,-0.7243349175621061,-0.8162211509216571,-0.4209682812960674,-0.7983420016092667,-0.7985298504285081,0.2608947519069889,2.427677765033692,2.2133846669460016,0.49475177844893514,-0.32304809505776283,-0.42319486350901797,-1.0941458606213506,-1.1056734727409583,-1.0847854745915029,-0.8493135661968023,-0.5435323528781452,0.0
2024-01-01 12:00:00,-0.7558409421377622,-0.7368504952401084,-0.6476861171481352,-0.6994586312285629,0.28550100327812494,-0.7816423866512993,-0.7789504921939838,-0.551357233043155,-0.7652615818284553,-0.765483029187648,0.42007998607601194,1.7039328215378426,1.5123655757024672,0.5595169746691371,-0.23190327070158892,0.049446742084999044,-1.0125185185593182,-1.0121914106415182,-0.9955890605193058,-0.8458139598252604,-0.5364908548696665,1.0
2024-01-02 00:00:00,-1.2315585568139993,-0.9291258336515079,-0.7895984339766541,-0.6390846478082945,1.0245478586582029,-0.903826375735273,-0.734135174699482,-0.7961380413060999,-0.712490485790296,-0.7122062210259568,0.43984198894352194,0.8425218046241327,0.6688667586255209,0.05969967166290862,0.9985518581067585,2.412654770055084,-1.284065382690836,-1.2758683253263334,-1.266525082115273,-0.9726850827243341,-0.29995897082448386,1.0
2024-01-02 12:00:00,-2.2275820977924923,-0.3895895810183078,-0.16149189497194416,-0.05964557096862628,0.7852810553410905,-0.5435914532317135,-0.23618369833024289,-0.6745134218158623,-0.18928437507049486,-0.18773738548791002,-0.35543155533880233,2.620306822591162,2.4399545365911632,0.3868293413222633,0.9985518581067587,4.265489299547597,-1.2460663549084339,-1.2319351439982407,-1.2282620819126604,-0.6747259141434446,-0.5523760219900452,1.0
2024-01-03 00:00:00,-2.359519521064554,-0.23928343342492658,-0.00046167292708441807,-0.1812638759616552,0.058909477522969295,-0.42683503995164834,-0.34871082909757767,-0.3739955039791195,-0.30111355513635063,-0.29973058257459184,-0.515662833274473,2.2822601502280753,2.4296461888459007,0.48003048184774505,-0.32304809505776283,-0.25638017918171785,-1.1333633884096266,-1.1257489827403513,-1.0571282234795802,-0.529198306542236,-0.6398317222901493,0.0
2024-01-03 12:00:00,-2.3109641720495575,-0.28658753656818575,-0.051998437823826356,-0.2659844240161211,-0.003843383417025649,-0.46312174239985276,-0.4260101557541743,-0.36057174967982664,-0.38066622993308824,-0.37942821158659606,-0.4570268427743568,1.5741861311020824,1.7306265763876,0.44955619361006127,-0.0496136219892411,-0.22262006449643093,-0.9070345771526123,-0.9153879467349472,-0.8569711928498042,-0.434194286514794,-0.648210711540458,1.0
2024-01-04 00:00:00,-2.0137335242390297,-0.4659170638422269,-0.25791494753339433,-0.3915650579665501,0.20928182322494912,-0.6005356181041582,-0.5350681204944889,-0.48390812307400094,-0.49724777887292476,-0.4963947396568667,-0.2099545989118844,0.5401037923338454,1.1197555123651701,0.7785128589671192,-0.004041209811154205,0.40492089083007904,-1.2715193074843025,-1.2603457104678135,-1.239417786272808,-0.6067931209766322,-0.601602583835613,1.0
2024-01-04 12:00:00,-1.1709832330887442,-0.6946628097193495,-0.5657522376495417,-0.34951398301980774,1.0171958254174196,-0.757953468844943,-0.4988311044486183,-0.7789604407262442,-0.47714921884338185,-0.47622166585468606,0.24082387664035998,-0.31170086230767624,-0.05279875163536457,0.8299464418488495,0.9529794459286717,1.179417639492544,-1.2135002324204596,-1.1991586513479537,-1.1722642133365673,-0.6872689744799075,-0.44571847132465375,1.0
2024-01-05 00:00:00,-1.1847267146795784,-0.9141043228381174,-0.7794719739780188,-0.5929796293617848,1.1138611029769236,-0.8917368590616842,-0.6980873858914485,-0.8104627187127279,-0.676946726920316,-0.6766779878119471,0.43962410578070804,-0.3244688121631163,-0.37657827254759835,0.007569394421787078,-0.32304809505776283,-0.34773107774190604,-1.0335151171491708,-1.049099586316721,-0.977885792952444,-0.8613083284761861,-0.02772910132746133,0.0
2024-01-05 12:00:00,-1.3366627608935495,-0.6829005115551673,-0.5379798447285854,-0.5572957651095928,0.4652442564584713,-0.7453556842030951,-0.6698294517077232,-0.5953222806811075,-0.6459078177121302,-0.6454392525712824,0.19019509237376175,0.0736480242817572,-0.1414343086261289,0.11640961811960497,-0.32304809505776283,-0.42319486350901797,-1.041187381321817,-1.0357454374151376,-1.0418290957103953,-0.6580896702518048,-0.11919973397667061,0.0
2024-01-06 00:00:00,-1.0071163590721366,-1.4013657178407184,-1.2742320108290661,-1.0895533526299317,1.4195102519984673,-1.1500459015018785,-1.0477477835420759,-0.9048794603614456,-1.0305526734499346,-1.0316184034469236,0.9479309990887528,-1.1289712525782922,-1.2230803090463924,0.216124607305963,-0.32304809505776283,-0.17495872611720234,-1.2554591384855176,-1.2469488331729899,-1.228365559063746,-1.1668741428913734,1.072711486879804,0.0
