Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),Tlog (degC),CO2 (ppm),Rain_Rate (mm/h),Rain_Type_Cloudburst,Rain_Type_Heavy_Rain,Rain_Type_Moderate_Rain,Rain_Type_No_Rain,Rain_Type_Shower,Rain_Type_Very_Heavy_Rain,Rain_Type_Weak_Rain
2024-01-01 00:00:00,-1.038909676401885,-0.6075347784106575,-0.49515598881705913,-0.7531163093448237,-0.1724492936432712,-0.6836712227642324,-0.8162425379721443,-0.35458276451721976,-0.7978700885450947,-0.7983650974627345,0.22844187161735027,1.8723382031967726,1.6678404953988886,0.42256886871786226,-0.2459253962122331,-0.36307115629732095,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,-0.7963650578065735,-0.5118872694268615,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-01 06:00:00,-0.9772195740024572,-0.6536485416802563,-0.5463022098779708,-0.7384298278063637,-0.02573751895760213,-0.7138026899339261,-0.8060967766561092,-0.41064985787713754,-0.7887769316008965,-0.7887172266564317,0.2866141655006379,2.3393708687476407,2.106937639207159,0.4671982290250593,-0.2459253962122331,-0.36307115629732095,-0.4340038962964786,-0.44878785221493245,-0.4382869209388276,-0.8557401627730552,-0.5054687873817982,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-01 12:00:00,-0.8645570462513305,-0.5696007317237626,-0.47474613073774163,-0.6675028682673368,-0.08944917453109467,-0.6577485637161185,-0.752443372094321,-0.36999045584799484,-0.7369945049767125,-0.7371990420567229,0.24454597714954862,2.2787270764874195,2.1262098380147374,0.4722886968673753,-0.2459253962122331,-0.2132432609628824,-0.34366637457527177,-0.3457756797895262,-0.33927143305697904,-0.7155710238041336,-0.5661708917919787,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-01 18:00:00,-0.6357491041170082,-0.8751384021847737,-0.7961927114968297,-0.7259936942455709,0.610057710232586,-0.8506139468076016,-0.7957667746109577,-0.6329940241412012,-0.7838639878984124,-0.7841515432308287,0.5845787059585074,0.6819147485762915,0.45729288084334974,0.5347785779661445,-0.10724922013412629,0.2975336549499764,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,-0.9305698638494981,-0.43789474662329514,-0.005845136140744104,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-02 00:00:00,-0.8647046261933775,-0.9281049185526064,-0.8261351096613313,-0.6433139051875533,0.9724061049991338,-0.8822099992262536,-0.7347258534350606,-0.7354884630817783,-0.7193079076477689,-0.7193064989023328,0.5585388761043599,-0.0012259496024401887,-0.20891514268481487,0.07417900492352734,-0.10724922013412629,1.0739145671375219,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,-0.9057518014943092,-0.19524994651467747,-0.11946790041149026,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-02 06:00:00,-1.5806444410038079,-0.8930315322094385,-0.722760890476213,-0.6301033603793852,0.8934653139934252,-0.861670815649566,-0.7245210635359103,-0.7123480785712326,-0.6968066254903913,-0.6962929865003075,0.30947404906360054,1.4650014876577575,1.351578365079908,0.032489828628702075,1.6262029808422096,3.062539359758252,-0.630473203838455,-0.6252407059557692,-0.6278844321219151,-0.9869311031182972,-0.3654121799017059,0.3313484781402241,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-01-02 12:00:00,-2.0003027641805375,-0.3831486138771052,-0.18091463877306713,-0.14072100564093737,0.5345049360082366,-0.5246112664260073,-0.3108201331458306,-0.547199957040782,-0.2702648532407078,-0.268969697233742,-0.2803666852451913,3.0250471958710503,2.7196271825934155,0.413792200024215,0.10076504398303394,2.1805978849487158,-0.5903387662406931,-0.5786769493823205,-0.5871249968255395,-0.6829695801325996,-0.47274528096121354,-0.07960560085827374,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-02 18:00:00,-2.4237096178849966,-0.3817941538353975,-0.13773783956368796,0.019764336976911646,0.895836925740378,-0.5248911871561834,-0.1599394972136133,-0.679602251433668,-0.10735164006632979,-0.10559226870676129,-0.4165827216556705,1.5279696064506012,1.4483553058546546,0.28218605296297183,1.418188716725049,5.13288845892504,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,-0.6307048573460876,-0.5610987482967852,0.0871879946253867,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-01-03 00:00:00,-2.43312521818697,-0.21223714282477818,0.030106322769123988,-0.1321113747142347,0.10205847403533087,-0.3937833151598506,-0.3002397068086753,-0.35230770919371,-0.25022004293457206,-0.24879431236655006,-0.5549211042425224,1.6211539701675266,1.8588947351297629,0.46680327893384554,-0.2459253962122331,-0.36307115629732095,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,-0.5041566356807707,-0.6218008527069656,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-03 06:00:00,-2.252989140936477,-0.25846700266938033,-0.03335627751689708,-0.2307349247476277,0.006092898703283525,-0.43066287136058023,-0.39389839201805155,-0.32834867900472525,-0.3493632468507042,-0.34806707766107886,-0.4573360558099582,2.344442126636997,2.2914793414581456,0.3970726461628162,-0.2459253962122331,-0.07703608338612004,-0.4713022950464526,-0.46613270799546574,-0.4048256634516245,-0.5267216139707019,-0.575987943718151,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
